Inactive Keff:
Cycle       Keff
    1        0.667
    2     0.881559
    3      1.08929
    4     0.942233
    5     0.984258
    6     0.999158
    7     0.988206
    8       1.0162
    9      1.01091
   10     0.945228
   11       1.0676
   12      1.03125
   13     0.976874
   14      1.01714
   15      1.00803
   16     0.964968
   17     0.981848
   18     0.984034
   19      1.07173
   20     0.917131
Active cycle Keff:
Cycle       Keff         Average           St.d
   21      1.06429     0.91713147            0
   22      1.00245     0.9907117     0.42170371
   23      1.00407     0.99462412     0.081735906
   24     0.992701     0.99698601     0.050965402
   25      1.01716     0.99612895     0.023242511
   26     0.909237     0.9996336     0.038517616
   27      1.08922     0.9867198     0.045747034
   28      1.02271     0.99953265     0.061666162
   29     0.962728     1.0021078     0.019509968
   30     0.974465     0.9981698     0.025873148
   31      1.06171     0.99601478     0.005739136
   32      1.00955     1.0014892     0.029417765
   33     0.932965     1.0021096     0.0085069813
   34      1.03043     0.99717068     0.023243232
   35      1.01313     0.99938804     0.019024996
   36      1.00729     1.0002466     0.0099061371
   37     0.941318     1.0006608     0.0032344372
   38      1.05636     0.997364     0.015248562
   39     0.998383     1.0004692     0.017895634
   40      1.00972     1.0003649     0.0054922979
   41     0.969527     1.0008102     0.0020033404
   42       1.0306     0.99938821     0.010303015
   43      1.04334     1.0007454     0.0094653022
   44     0.943077     1.0025201     0.0066829402
   45     0.960033     1.0001424     0.014258896
   46      1.05607     0.99859972     0.0082088454
   47       1.0177     1.0007284     0.011663425
   48     0.959684     1.0013345     0.0021316118
   49     0.970346     0.99989829     0.0099375725
   50      1.06621     0.99891321     0.0055197378
   51     0.968949     1.0010842     0.010430224
   52     0.958915      1.00008     0.0082012559
   53      1.06855     0.99883257     0.0064400748
   54            1     1.0008831     0.0098844241
   55      1.03047     1.0008579     0.0051664712
   56     0.891829     1.0016805     0.0010132033
   57      1.10297     0.99871158     0.011348935
   58     0.973892     1.0014551     0.0104503
   59     0.991064     1.0007484     0.0075353729
   60      1.03197     1.0005063     0.0050372643
   61     0.989674     1.0012736     0.0025520663
   62     0.946228     1.0009975     0.0061435834
   63      1.08227     0.99972375     0.0073478897
   64     0.927116     1.0015999     0.0070767913
   65      1.05579     0.99994468     0.0085907369
   66     0.936749     1.0011587     0.0053114061
   67      1.04701     0.9997883     0.0074082999
   68     0.980408     1.0007721     0.0050443002
   69      1.04163     1.0003565     0.0049716098
   70     0.976019     1.001182     0.003092388
   71     0.949222     1.0006886     0.0057841285
   72      1.03279     0.99969885     0.0057334556
   73      1.02423     1.0003232     0.0042197385
   74     0.967374     1.0007658     0.0015005446
   75      1.02277     1.0001587     0.0050395384
   76     0.973619     1.0005624     0.0021101718
   77     0.988146     1.0000897     0.0042974718
   78      1.04199     0.99988376     0.0022771932
   79     0.984375     1.0005974     0.0037830154
   80      1.03425     1.000327     0.0038335844
   81     0.978998     1.0008832     0.0019531028
   82     0.983498     1.0005302     0.004499088
   83     0.994128     1.0002598     0.0035920382
   84      1.05992     1.000164     0.0023756174
   85      0.98328     1.0010833     0.0034345541
   86     0.964372     1.0008135     0.0045594677
   87      0.97817     1.0002696     0.0045325254
   88     0.993133     0.99994464     0.0029785167
   89      1.06655     0.99984592     0.00079860237
   90     0.979741     1.0007989     0.004006029
   91     0.970223     1.0005023     0.0039539158
   92      1.02131     1.0000817     0.0036038535
   93     0.988314     1.0003726     0.0017040525
   94      1.04054     1.0002096     0.0027078187
   95     0.976461     1.0007474     0.0021052014
   96     0.985037     1.0004278     0.003769833
   97      1.03122     1.0002279     0.0028730054
   98      1.02128     1.0006253     0.0014829424
   99     0.983974     1.0008867     0.0021597352
  100     0.946254     1.0006753     0.003726324
Flux:
Group 1:
Cell   1:        0       -nan(ind)
Cell   2:        0       -nan(ind)
Cell   3: 0.0496725              1
Cell   4: 0.0496725              1
Cell   5:  0.13257       0.724896
Cell   6:  0.13257       0.724896
Cell   7:  0.13257       0.724896
Cell   8: 0.270766       0.456752
Cell   9: 0.270766       0.456752
Cell  10: 0.270766       0.456752
Cell  11: 0.508124       0.317868
Cell  12: 0.604886       0.310285
Cell  13: 0.794758       0.278379
Cell  14:  1.02005       0.263656
Cell  15:  1.38561       0.203201
Cell  16:  1.72396       0.192342
Cell  17:  2.25264       0.160601
Cell  18:   2.9805       0.132324
Cell  19:   3.9289       0.114345
Cell  20:  4.95387        0.10699
Cell  21:  6.20289       0.103538
Cell  22:  7.11685       0.100034
Cell  23:  9.35355       0.0831903
Cell  24:   11.863       0.0695554
Cell  25:  15.1293       0.061937
Cell  26:  19.0938       0.0553727
Cell  27:  23.8209       0.049891
Cell  28:  28.9001       0.0473092
Cell  29:  36.5768       0.041075
Cell  30:  47.0995       0.0391032
Cell  31:  60.2847       0.0398253
Cell  32:  70.3385       0.0362002
Cell  33:  82.9203       0.0399464
Cell  34:  88.5235       0.0310839
Cell  35:  99.4987       0.0317937
Cell  36:  115.827       0.0284071
Cell  37:  134.426       0.0278264
Cell  38:   151.67       0.027884
Cell  39:  168.348       0.0261744
Cell  40:  186.655       0.026013
Cell  41:  204.412       0.026975
Cell  42:   219.58       0.024159
Cell  43:  240.235       0.0260869
Cell  44:  252.502       0.0230836
Cell  45:  274.854       0.020844
Cell  46:  295.626       0.0210607
Cell  47:  312.375       0.0156414
Cell  48:  332.316       0.0185481
Cell  49:  350.436       0.0156965
Cell  50:  363.161       0.0161646
Cell  51:    383.6       0.0143343
Cell  52:  397.324       0.0143246
Cell  53:   428.69       0.0155379
Cell  54:  459.424       0.0159982
Cell  55:  477.569       0.0161002
Cell  56:  499.613       0.0162497
Cell  57:   518.31       0.0181949
Cell  58:  537.725       0.0161658
Cell  59:  548.201       0.0134557
Cell  60:  569.855       0.0140396
Cell  61:  589.937       0.0127052
Cell  62:   609.74       0.0141568
Cell  63:  639.218       0.0160776
Cell  64:  657.064       0.0152459
Cell  65:  668.291       0.0148353
Cell  66:  674.426       0.0131646
Cell  67:  688.621       0.012792
Cell  68:  706.777       0.0123663
Cell  69:  723.443       0.0134596
