Inactive Keff:
Cycle       Keff
    1       0.6725
    2      0.86171
    3     0.992235
    4         1.08
    5     0.987923
    6      0.98859
    7     0.998351
    8      1.01239
    9      0.98124
   10      1.02577
   11     0.995138
   12     0.991857
   13     0.986864
   14       1.0183
   15     0.970588
   16     0.997475
   17      1.00422
   18      1.00588
   19      1.00167
   20      1.02836
Active cycle Keff:
Cycle       Keff         Average           St.d
   21     0.983779     1.028357            0
   22     0.959604     1.0060682     0.2205709
   23      1.03952     0.99058022     0.10327942
   24      1.03802     1.0028149     0.085591713
   25      1.00318     1.0098552     0.03238006
   26     0.927778     1.0087435     0.046581532
   27      1.04962     0.99717694     0.057784897
   28      0.99185     1.0037317     0.036689789
   29      1.01561     1.0024115     0.025070441
   30     0.987055     1.0037316     0.011015125
   31      1.01639     1.0022155     0.022852811
   32      1.04113     1.003397     0.0096970424
   33     0.955074     1.0062995     0.0064722518
   34     0.979724     1.0026405     0.027558855
   35      1.02649     1.0011127     0.017223847
   36      0.98629     1.0026988     0.0056038786
   37     0.973017     1.0017336     0.015107075
   38     0.986555     1.0001383     0.013975738
   39      1.08433     0.99942333     0.0068838524
   40     0.939513     1.0036685     0.015939173
   41     0.996656     1.0006135     0.018286398
   42       1.0453     1.0004336     0.0061443194
   43     0.958266     1.0023844     0.0083003613
   44     0.979062     1.0005461     0.013526509
   45      1.05047     0.99968677     0.0076492673
   46     0.989414      1.00164     0.009524218
   47     0.990947     1.0011872     0.0089628576
   48     0.963455     1.0008214     0.0075783091
   49      1.05345     0.99953294     0.00867495
   50      1.01555     1.0013301     0.0088398381
   51      0.93473     1.0017888     0.0053879961
   52      1.04138     0.99969318     0.011178434
   53      1.03394     1.0009564     0.0070064816
   54     0.958367     1.0019265     0.00062235662
   55     0.981621     1.0006819     0.0096445578
   56      1.01191     1.0001525     0.0058803316
   57       1.0185     1.0004704     0.0021432078
   58     0.962015     1.0009449     0.00032647063
   59      1.04206     0.99994671     0.0071457473
   60      1.02471     1.0009995     0.0053258966
   61     0.995177     1.0015779     0.0032455865
   62      1.00565     1.0014255     0.0064907579
   63     0.967068     1.0015238     0.0056175495
   64     0.981728     1.0007407     0.0073170826
   65      1.07191     1.0003182     0.0051391689
   66     0.952644     1.0018746     0.0052435515
   67     0.990058     1.0008272     0.0079600253
   68      1.01255     1.0006028     0.0047276035
   69       1.0157     1.0008467     0.0027342864
   70      1.01627     1.0011438     0.0033482789
   71      0.92554     1.0014404     0.0041145973
   72      1.08304     0.99998083     0.0075326617
   73     0.964058     1.0015481     0.0055235186
   74      1.01243     1.0008538     0.0064979065
   75     0.986088     1.0010642     0.0034507254
   76      1.00083     1.0007968     0.0049174327
   77      1.01658     1.0007974     0.0037692294
   78     0.968189     1.0010696     0.0030349148
   79      1.03201     1.0005123     0.0052923662
   80      1.01714     1.0010373     0.00045972409
   81     0.998395     1.0013013     0.0035887368
   82     0.926045     1.0012544     0.004698075
   83      1.06771     1.0000606     0.0062780751
   84     0.992683     1.0011176     0.0039765749
   85     0.977068     1.0009879     0.0044121016
   86      1.00922     1.0006255     0.0045549727
   87      1.00831     1.0007537     0.0027439626
   88     0.960461     1.0008648     0.0030961595
   89      1.08662     1.0002792     0.004615496
   90     0.940016     1.0015127     0.0037175825
   91      1.00504     1.0006465     0.005823524
   92      1.02089     1.0007075     0.002870942
   93     0.992635     1.0009839     0.0024466564
   94      1.02473     1.0008711     0.0038739869
   95     0.995977     1.0011893     0.0027330793
   96     0.966074     1.0011207     0.0040926877
   97      1.00753     1.0006655     0.0045502385
   98     0.975934     1.0007535     0.0027380531
   99      1.02126     1.0004393     0.0036979046
  100      1.04246     1.0006995     0.0015056671
Flux:
Group 1:
Cell   1:  3.22136       5.09922e-09
Cell   2:  8.94625       1.49919e-09
Cell   3:  10.7445       4.99312e-09
Cell   4:  36.4277       3.60745e-09
Cell   5:  33.7911       3.1753e-09
Cell   6:  53.3637       4.02134e-09
Cell   7:  76.5045       6.27212e-09
Cell   8:  78.8723       2.35626e-09
Cell   9:  88.2656       5.57064e-09
Cell  10:  89.1169       0.00385788
Cell  11:  97.4693       0.0107928
Cell  12:  105.749       0.0105656
Cell  13:  116.991       0.0114656
Cell  14:  141.565       0.0134718
Cell  15:  167.473       0.0163198
Cell  16:  173.264       0.0193094
Cell  17:  197.131       0.0228077
Cell  18:   245.69       0.0275279
Cell  19:  334.121       0.0273069
Cell  20:  393.021       0.0304543
Cell  21:  466.351       0.0320113
Cell  22:  572.363       0.0322069
Cell  23:  693.369       0.0336397
Cell  24:  837.798       0.0345151
Cell  25:   1018.4       0.0359826
Cell  26:  1192.54       0.0377512
Cell  27:  1417.82       0.0394721
Cell  28:  1752.58       0.0394376
Cell  29:  2128.08       0.0391019
Cell  30:  2718.03       0.0398538
Cell  31:  3472.73       0.0403214
Cell  32:  4242.92       0.0374113
Cell  33:  5026.29       0.0381655
Cell  34:  5765.54       0.0412989
Cell  35:  6370.83       0.0420752
Cell  36:  7267.32       0.0412956
Cell  37:  7946.09       0.0408085
Cell  38:   9201.8       0.0416475
Cell  39:  10180.3       0.0422397
Cell  40:  10892.2       0.042648
Cell  41:  12558.1       0.0422547
Cell  42:  13556.1       0.0413459
Cell  43:  14204.4       0.0420294
Cell  44:  15615.4       0.0410766
Cell  45:  16354.3       0.0420685
Cell  46:  17359.8       0.0420346
Cell  47:  18175.2       0.0416217
Cell  48:  19912.5       0.0417773
Cell  49:  20524.9       0.0424513
Cell  50:  21415.6       0.0425804
Cell  51:  23104.5       0.0420034
Cell  52:  24487.1       0.0433958
Cell  53:  26373.8       0.042316
Cell  54:  27867.5       0.0426227
Cell  55:  28739.6       0.0428458
Cell  56:  30033.3       0.0429331
Cell  57:  30716.1       0.0427509
Cell  58:  31485.9       0.0429361
Cell  59:  32905.9       0.0430598
Cell  60:  34824.4       0.0419075
Cell  61:  36239.3       0.041958
Cell  62:  36686.7       0.0423613
Cell  63:  37698.3       0.0424749
Cell  64:  38993.5       0.0422366
Cell  65:  40197.3       0.0430825
Cell  66:  41632.6       0.0427486
Cell  67:  42979.1       0.0425767
Cell  68:  43646.8       0.0426173
Cell  69:  44441.7       0.0428284
Cell  70:  44892.5       0.0434849
Cell  71:  45623.4       0.0428761
Cell  72:  46215.6       0.0433834
Cell  73:  46549.6       0.0441107
Cell  74:  46422.5       0.0442378
Cell  75:  47281.5       0.0449445
Cell  76:  46807.3       0.0451814
Cell  77:    47484       0.0453324
Cell  78:    47489       0.0451907
Cell  79:  47758.1       0.0445957
Cell  80:  48660.3       0.0441901
Cell  81:  49118.3       0.0444617
Cell  82:  48956.4       0.043505
Cell  83:  48311.4       0.0439463
Cell  84:  48843.6       0.043362
Cell  85:  49096.1       0.0436258
