Inactive Keff:
Cycle       Keff
    1       0.6135
    2      1.02119
    3      1.07662
    4     0.994811
    5      1.01937
    6     0.986842
    7      1.01704
    8      0.96941
    9       1.0571
   10      1.04762
   11      0.88806
   12       1.0848
   13     0.980282
   14     0.967672
   15     0.985895
   16      1.04669
   17     0.964748
   18      1.09694
   19     0.956492
   20     0.970149
Active cycle Keff:
Cycle       Keff         Average           St.d
   21      1.00293     0.97014925            0
   22     0.982469     0.98653983     0.21950848
   23     0.963569     0.98518287     0.078261042
   24      1.04398     0.97977935     0.056192212
   25     0.994826     0.99261977     0.092214239
   26            1     0.99298753     0.039517957
   27      1.07058     0.99398931     0.036692353
   28      1.01457     1.0035631     0.047414501
   29      0.94528     1.0047864     0.01708712
   30     0.991317     0.99883583     0.034412001
   31      1.01971     0.9981523     0.0069310442
   32      1.03436     0.99994861     0.018226085
   33      1.00692     1.0025956     0.014996242
   34     0.919588     1.0029045     0.013247781
   35      1.05082     0.99735004     0.024521745
   36      1.00711     1.000692     0.020027954
   37      1.00353     1.0010697     0.0044330221
   38      1.00422     1.0012065     0.0074047789
   39      1.03504     1.0013652     0.0076254464
   40     0.902505     1.0030489     0.0040765733
   41      1.00225     0.99826106     0.019746301
   42      1.01422     0.9984424     0.0095716433
   43      1.00443     0.99912845     0.010109002
   44       1.0529     0.99934927     0.0068952145
   45     0.953943     1.0014914     0.010793648
   46     0.986832     0.99966259     0.011510893
   47      1.06004     0.99918741     0.0023037679
   48      0.93986     1.0013609     0.010523799
   49      1.02158     0.99924016     0.011138699
   50     0.991988     0.99998473     0.0072066243
   51     0.943465     0.99972678     0.0028442153
   52      1.04514     0.99796862     0.0069231617
   53       1.0134     0.99939794     0.010414326
   54      0.98604     0.99980985     0.0055454852
   55      1.04098     0.99941641     0.0024458476
   56     0.993558     1.0005711     0.0070506746
   57     0.979827     1.0003815     0.0045948877
   58     0.996324     0.9998406     0.0049914877
   59      1.02509     0.99975042     0.0013496164
   60       1.0036     1.000384     0.004759622
   61     0.944763     1.0004624     0.0027633503
   62      1.03721     0.99913623     0.0066021569
   63      1.01611     1.0000216     0.0064575334
   64     0.992795     1.0003871     0.0028282673
   65     0.986212     1.0002184     0.0035532708
   66     0.976453     0.99991391     0.0034081973
   67      1.04145     0.99941475     0.0029969361
   68     0.998553     1.0002904     0.0055778563
   69      1.00217     1.000255     0.0026051898
   70      1.01374     1.0002933     0.0021021597
   71     0.996434     1.000557     0.00077176573
   72     0.985684     1.0004777     0.003530983
   73     0.992738     1.0001985     0.0038137114
   74            1     1.0000604     0.0025201206
   75      1.02707     1.0000593     0.0010669218
   76     0.957977     1.0005416     0.0027730577
   77      1.02974     0.99979481     0.0047943277
   78     0.986282     1.0003111     0.0035583821
   79     0.979502     1.0000733     0.0030756109
   80      1.04858     0.99973046     0.0026556892
   81     0.957947     1.0005313     0.004224642
   82      1.00372     0.99984443     0.0044668166
   83       1.0593     0.99990595     0.0018713942
   84     0.969209     1.000834     0.004028296
   85      0.94296     1.0003475     0.004539867
   86      1.06126     0.999478     0.0043257343
   87      1.01371     1.0004001     0.0046795738
   88     0.976512     1.0005958     0.0017463676
   89      1.01968     1.0002467     0.0037259595
   90      1.01215     1.0005243     0.00066811582
   91     0.974576     1.0006881     0.0022692778
   92      1.02101     1.0003254     0.0038452384
   93     0.982257     1.0006089     0.00076472429
   94     0.981936     1.0003609     0.003424684
   95     0.980132     1.0001152     0.0028621562
   96      1.06381     0.99985226     0.0022451414
   97     0.937191     1.0006829     0.0035884961
   98      1.05648     0.99986894     0.0044068282
   99     0.967926     1.0005855     0.0032968782
  100      1.01399     1.0001772     0.0035451947
Flux:
Group 1:
Cell   1:  5.97099       4.20227e-09
Cell   2:  30.7357       4.61809e-09
Cell   3:  31.4161       2.41501e-09
Cell   4:  109.007       5.56811e-09
Cell   5:   93.405       0.00321033
Cell   6:  86.1604       0.00348027
Cell   7:   112.46       0.00256813
Cell   8:  141.616       0.00237917
Cell   9:  177.693       0.00452886
Cell  10:  206.273       0.0083276
Cell  11:  229.537       0.00930889
Cell  12:  273.581       0.00939653
Cell  13:  222.279       0.0126798
Cell  14:  279.511       0.0185668
Cell  15:  306.597       0.0181346
Cell  16:  304.112       0.0160404
Cell  17:  337.091       0.0179685
Cell  18:  385.638       0.0189859
Cell  19:  440.168       0.020904
Cell  20:   504.62       0.0233497
Cell  21:  632.402       0.024354
Cell  22:  679.085       0.0266615
Cell  23:  782.205       0.0276132
Cell  24:  895.355       0.0286965
Cell  25:  1003.05       0.0289795
Cell  26:  1141.66       0.0295666
Cell  27:  1257.56       0.0306117
Cell  28:  1482.63       0.0303815
Cell  29:  1655.64       0.0321814
Cell  30:  1903.68       0.0328004
Cell  31:  2149.12       0.0333778
Cell  32:  2430.15       0.0325426
Cell  33:  2742.27       0.0331591
